Phase,Module,Role,Feature,Task Description,Priority,Dependencies,Target_Day,Start_Date,End_Date,,,,,,,,
Phase 0,Requirements & Design,All,Requirement Gathering,Document detailed requirements and user stories for all user roles,High,None,3,07-07-2025,,,,,,,,,
Phase 0,Requirements & Design,All,UI/UX Design,"Design UI/UX wireframes and mockups for Super Admin, Company, Vendor, and Candidate portals",High,Requirement Gathering,1,,,,,,,,,,
Phase 0,Infrastructure Setup,DevOps,Cloud & CI/CD Setup,"Setup cloud infrastructure, CI/CD pipelines, and dev environments",High,None,,,,,,,,,,,
Phase 0,Technical Planning,Backend,Database Design,Finalize database schema for relational and non-relational data,High,Requirement Gathering,1,,,,,,,,,,
Phase 1,Candidate Portal,Candidate,Registration & Profile,Implement registration and profile creation with resume upload,High,Database Design,1,,,,,,,,,,
Phase 1,Candidate Portal,Candidate,Job Search,Build job board for candidates to search and view jobs,High,Job Creation,2,,,,,,,,,,
Phase 1,Candidate Portal,Candidate,Job Application,Develop simple job application feature,High,Job Search,1,,,,,,,,,,
Phase 1,Candidate Portal,Candidate,Dashboard,Create dashboard to show application status,Medium,Job Application,1,,,,,,,,,,
Phase 1,Company Portal,Company,Registration & Profile,Implement company registration and profile setup,High,Database Design,1,,,,,,,,,,
Phase 1,Company Portal,Company,Manual Job Creation,Allow manual job posting and publishing to portal,High,Registration & Profile,1,,,,,,,,,,
Phase 1,Company Portal,Company,Candidate Review,Enable candidate status changes by company,High,Job Application,1,,,,,,,,,,
Phase 1,Core Backend,All,Authentication,"Build auth service for login, roles, and registration",High,Database Design,4,,,,,,,,,,
Phase 2,AI Features,Company,JD Generator,Integrate LLM for AI-based job description generation,High,Job Creation,2,,,,,,,,,,
Phase 2,AI Features,Company,Resume Scorer,Develop resume parser and scoring system using AI,High,Job Application,2,,,,,,,,,,
Phase 2,AI Features,Company,Interview Scheduler,Build chatbot-driven interview scheduling,Medium,"Auth, Calendar API",7,,,,,,,,,,
Phase 2,Vendor Portal,Vendor,Registration & Dashboard,Allow invited vendors to register and view job requirements,High,Company Invites,2,,,,,,,,,,
Phase 2,Vendor Portal,Vendor,Candidate Submission,Enable candidate submission by vendors,High,Job Creation,4,,,,,,,,,,
Phase 2,Vendor Portal,Vendor,Status Tracking,Track the status of submitted candidates,Medium,Candidate Submission,2,,,,,,,,,,
Phase 2,Super Admin Portal V1,Super Admin,Basic Dashboard,"Create dashboard with total counts for users, jobs, companies",Medium,Database Setup,4,,,,,,,,,,
Phase 2,Super Admin Portal V1,Super Admin,Company Management,Enable Super Admin to activate/deactivate companies,Medium,Company Registration,1,,,,,,,,,,
Phase 2,Chatbots V1,All,FAQ Chatbot,Build role-specific chatbots for FAQs and status checks,Medium,LLM Integration,3,,,,,,,,,,
Phase 3,Super Admin V2,Super Admin,Billing & Subscriptions,Integrate Stripe or Chargebee for billing,High,Company Registration,,,,,,,,,,,
Phase 3,Platform Enhancements,All,Voice Commands,Add voice command support chatbot,Low,Chatbot + Web Speech API,5,,,,,,,,,,
Phase 3,Super Admin V2,Super Admin,Financial Dashboard,Display invoicing and payment analytics,Medium,Billing Integration,5,,,,,,,,,,
,,Super Admin,org admin Chatbot,Build end to end -mode chatbot to perform admin tasks,Low,Chatbot V1,5,,,,,,,,,,
Phase 3,Super Admin V2,Company,HR ChatBot,Build end to end -mode chatbot to perform HR tasks,,,3,,,,,,,,,,
Phase 3,Interview Module,Company,Human Interviewer UI,Develop UI for interviewers to rate and give feedback,High,Candidate Applications,2,,,,,,,,,,
Phase 3,Interview Module,Company,AI+Human Workflow,Show AI feedback and allow human override,Medium,Resume Scorer,4,,,,,,,,,,
Phase 3,Interview Module,Company,AI-Only Interview,Create simulated interview with AI,Low,Chatbot +model,4,,,,,,,,,,
Phase 3,Post-Interview,Company,Background Check,Automate background checks using public data,Medium,AI Integration,4,,,,,,,,,,
Phase 3,Post-Interview,Company,Offer Letter Generator,Generate letters from templates using LLM,High,Candidate Selection,2,,,,,,,,,,
Phase 3,Integrations,Company,Job Board API,Post jobs to LinkedIn and career pages via API,Medium,Job Creation,2,,,,,,,,,,
Phase 3,Platform Enhancements,All,Advanced Notifications,Create a rich notification system with actions,Medium,Job & Interview Logic,5,,,,,,,,,,
Phase 4,Monitoring,All,Performance & Feedback,Monitor system usage and collect user feedback,High,Launch,3,,,,,,,,,,
Phase 4,Model Training,AI,Retrain AI,Use real-world data to refine models,Medium,AI Feature Usage,4,,,,,,,,,,
Phase 4,Analytics,All, Metrics Dashboard,"Add dashboards for time-to-hire, cost-per-hire etc.",Medium,Interview Module,6,,,,,,,,,,
Phase 4,Integrations,Company,HRIS Integration,Integrate with Workday etc.,Low,Company Portal + API Access,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total,101
,,,,,,,,,,,,,,,,net,50.5
